Número de documento,Nombre,GP,ID
43778,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,70.6%,610082
43778,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,76.9%,610082
43778,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,74.7%,610082
43778,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,67.7%,610082
43780,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,70.6%,610290
43780,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,76.9%,610290
43780,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,74.7%,610290
43780,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,67.7%,610290
43781,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,70.6%,610390
43781,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,75.0%,610390
43781,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,74.7%,610390
43781,132 MAHLE VALVULAS DE ARGENTINA SA ✮✮,67.7%,610390
43777,15 IND. JOHN DEERE ARGENTINA S.A. ✮✮,82.2%,609982
43774,1606 DANES SRL ✮✮,5.6%,609744
43776,1606 DANES SRL ✮✮,5.6%,609843
43779,26 SPICER EJES PESADOS SA ✮✮,60.4%,610183
43782,396 IPROA SA ,54.2%,610495
43782,396 IPROA SA ,72.9%,610495
43562,60 INGERSOLL ARGENTINA S.A. ,86.6%,593175
43765,9403354 ACOSTA MARIANO Y GUSTAVO S.A. ,100.0%,609028
43783,9403355 CARTON DEL TUCUMAN S.A. ,0.0%,610595
43783,9403355 CARTON DEL TUCUMAN S.A. ,0.0%,610595
43783,9403355 CARTON DEL TUCUMAN S.A. ,0.0%,610595
